1,1001,English,,2001,3001,
144,1144,Edukasyon sa Pagpapakatao,,2008,3016,
145,1145,Music,,2008,3016,
146,1146,Arts,,2008,3016,
147,1147,PE,,2008,3016,
148,1148,Health,,2008,3016,
149,1149,Mapeh,,2008,3016,
150,1150,Computer,,2008,3016,
151,1151,English,,2009,3017,
152,1152,Math,,2009,3017,
153,1153,Science,,2009,3017,
154,1154,Filipino,,2009,3017,
155,1155,Makabayan,,2009,3017,
156,1156,Hekasi,,2009,3017,
157,1157,EPP,,2009,3017,
158,1158,Mapeh,,2009,3017,
159,1159,Edukasyon sa Pagpapakatao,,2009,3017,
160,1160,Computer,,2009,3017,
161,1161,English,,2009,3018,
162,1162,Math,,2009,3018,
163,1163,Science,,2009,3018,
164,1164,Filipino,,2009,3018,
165,1165,Makabayan,,2009,3018,
166,1166,Hekasi,,2009,3018,
167,1167,EPP,,2009,3018,
168,1168,Mapeh,,2009,3018,
169,1169,Edukasyon sa Pagpapakatao,,2009,3018,
170,1170,Computer,,2009,3018,
171,1171,English,,2010,3019,
172,1172,Math,,2010,3019,
173,1173,Science,,2010,3019,
174,1174,Filipino,,2010,3019,
175,1175,Makabayan,,2010,3019,
176,1176,Hekasi,,2010,3019,
177,1177,EPP,,2010,3019,
178,1178,Mapeh,,2010,3019,
179,1179,Edukasyon sa Pagpapakatao,,2010,3019,
180,1180,Computer,,2010,3019,
181,1181,English,,2010,3020,
182,1182,Math,,2010,3020,
183,1183,Science,,2010,3020,
184,1184,Filipino,,2010,3020,
185,1185,Makabayan,,2010,3020,
186,1186,Hekasi,,2010,3020,
187,1187,EPP,,2010,3020,
188,1188,Mapeh,,2010,3020,
189,1189,Edukasyon sa Pagpapakatao,,2010,3020,
190,1190,Computer,,2010,3020,
191,1191,English,,2011,3021,
192,1192,Math,,2011,3021,
193,1193,Science,,2011,3021,
194,1194,Filipino,,2011,3021,
195,1195,AP,,2011,3021,
196,1196,TLE,,2011,3021,
197,1197,Mapeh,,2011,3021,
198,1198,Music,,2011,3021,
199,1199,Arts,,2011,3021,
200,1200,PE,,2011,3021,
201,1201,Health,,2011,3021,
202,1202,Edukasyon sa Pagpapakatao,,2011,3021,
203,1203,Computer,,2011,3021,
204,1204,English,,2011,3022,
205,1205,Math,,2011,3022,
206,1206,Science,,2011,3022,
207,1207,Filipino,,2011,3022,
208,1208,AP,,2011,3022,
209,1209,TLE,,2011,3022,
210,1210,Mapeh,,2011,3022,
211,1211,Music,,2011,3022,
212,1212,Arts,,2011,3022,
213,1213,PE,,2011,3022,
214,1214,Health,,2011,3022,
215,1215,Edukasyon sa Pagpapakatao,,2011,3022,
216,1216,Computer,,2011,3022,
217,1217,English,,2012,3023,
218,1218,Math,,2012,3023,
219,1219,Science,,2012,3023,
220,1220,Filipino,,2012,3023,
221,1221,AP,,2012,3023,
222,1222,TLE,,2012,3023,
223,1223,Mapeh,,2012,3023,
224,1224,Music,,2012,3023,
225,1225,Arts,,2012,3023,
226,1226,PE,,2012,3023,
227,1227,Health,,2012,3023,
228,1228,Edukasyon sa Pagpapakatao,,2012,3023,
229,1229,Computer,,2012,3023,
230,1230,English,,2012,3024,
231,1231,Math,,2012,3024,
232,1232,Science,,2012,3024,
233,1233,Filipino,,2012,3024,
234,1234,AP,,2012,3024,
235,1235,TLE,,2012,3024,
236,1236,Mapeh,,2012,3024,
237,1237,Music,,2012,3024,
238,1238,Arts,,2012,3024,
239,1239,PE,,2012,3024,
240,1240,Health,,2012,3024,
241,1241,Edukasyon sa Pagpapakatao,,2012,3024,
242,1242,Computer,,2012,3024,
243,1243,English,,2013,3025,
244,1244,Math,,2013,3025,
245,1245,Science,,2013,3025,
246,1246,Filipino,,2013,3025,
247,1247,AP,,2013,3025,
248,1248,TLE,,2013,3025,
249,1249,Mapeh,,2013,3025,
250,1250,Music,,2013,3025,
251,1251,Arts,,2013,3025,
252,1252,PE,,2013,3025,
253,1253,Health,,2013,3025,
254,1254,Edukasyon sa Pagpapakatao,,2013,3025,
255,1255,Computer,,2013,3025,
256,1256,Campus Journalism,,2013,3025,
257,1257,Statistics,,2013,3025,
258,1258,English,,2013,3026,
259,1259,Math,,2013,3026,
260,1260,Science,,2013,3026,
261,1261,Filipino,,2013,3026,
262,1262,AP,,2013,3026,
263,1263,TLE,,2013,3026,
264,1264,Mapeh,,2013,3026,
265,1265,Music,,2013,3026,
266,1266,Arts,,2013,3026,
267,1267,PE,,2013,3026,
268,1268,Health,,2013,3026,
269,1269,Edukasyon sa Pagpapakatao,,2013,3026,
270,1270,Computer,,2013,3026,
271,1271,Campus Journalism,,2013,3026,
272,1272,Statistics,,2013,3026,
273,1273,English,,2014,3027,
274,1274,Math,,2014,3027,
275,1275,Science,,2014,3027,
276,1276,Filipino,,2014,3027,
277,1277,AP,,2014,3027,
278,1278,TLE,,2014,3027,
279,1279,Mapeh,,2014,3027,
280,1280,Music,,2014,3027,
281,1281,Arts,,2014,3027,
282,1282,PE,,2014,3027,
283,1283,Health,,2014,3027,
284,1284,Edukasyon sa Pagpapakatao,,2014,3027,
285,1285,Computer,,2014,3027,
286,1286,Calculus,,2014,3027,
287,1287,Accounting,,2014,3027,
288,1288,English,,2014,3028,
289,1289,Math,,2014,3028,
290,1290,Science,,2014,3028,
291,1291,Filipino,,2014,3028,
292,1292,AP,,2014,3028,
293,1293,TLE,,2014,3028,
294,1294,Mapeh,,2014,3028,
295,1295,Music,,2014,3028,
296,1296,Arts,,2014,3028,
297,1297,PE,,2014,3028,
298,1298,Health,,2014,3028,
299,1299,Edukasyon sa Pagpapakatao,,2014,3028,
300,1300,Computer,,2014,3028,
301,1301,Calculus,,2014,3028,
302,1302,Accounting,,2014,3028,
